id,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6
cu2xz,2,7,51,2,7,10
uv203,10,0,5,10,0,44
rwa6i,2,30,23,4,18,68
lzxxq,10,0,87,11,0,97
lqeic,2,20,57,11,14,93
w67d4,2,0,37,11,0,20
cylfx,10,0,85,11,0,5
safde,10,7,14,2,19,38
fam2k,10,0,20,10,0,90
ci9ra,11,4,50,2,16,93
nvtp4,11,14,82,2,0,17
zyant,10,0,81,11,15,97
txnqh,11,10,70,2,11,18
tvir3,11,0,69,2,0,92
s6qhb,4,13,24,2,5,3
u4og3,11,13,72,11,24,26
nryc8,10,2,66,10,26,3
dl1kg,10,28,15,11,2,5
vocsq,2,0,24,2,0,7
lcqut,2,5,80,4,26,63
ncylj,4,7,78,11,9,1
j49er,11,19,2,2,0,57
ejzvo,11,0,80,10,0,2
y0y79,2,22,14,4,8,47
uof7p,10,8,17,11,5,91
q5zs4,10,16,46,4,17,79
k1wsi,10,0,70,10,0,73
vhxnw,10,25,40,10,27,5
ozbdv,10,2,36,10,0,45
l9tyk,11,28,96,10,5,23
lhi71,11,6,54,11,10,80
fmc4k,11,7,90,10,26,36
cizeh,2,19,75,10,21,9
ose69,10,8,68,2,26,27
x3utj,10,6,82,11,7,91
bfffa,4,7,90,11,25,13
w000m,2,15,21,10,23,1
vdh36,11,0,58,2,0,2
hcz63,11,24,40,4,25,15
qix37,10,0,68,2,0,5
eymyf,4,3,46,2,17,10
tdatb,11,0,76,10,0,84
se4ow,2,17,82,10,6,27
jpbvd,4,7,23,11,29,93
byzzn,11,0,28,2,0,56
zr1p7,10,13,46,11,17,0
lx1xg,10,16,89,11,13,78
xqxsv,2,7,15,4,12,38
r64hh,10,0,8,2,0,12
ufzrv,2,7,83,10,26,46
t5rwk,2,14,65,11,1,66
f3au3,10,19,71,2,26,42
jzd4n,2,30,37,4,24,47
msrml,4,0,40,4,0,59
m6x9l,4,25,13,4,20,64
bksvd,2,0,84,4,0,31
onpdu,4,17,47,4,8,80
ee5sg,2,0,49,2,0,83
tsmpj,11,19,41,10,19,39
rpfkn,2,0,39,10,0,65
x265n,2,12,39,2,15,15
tnjs8,10,24,31,2,23,95
jizjn,4,0,88,11,0,58
zs04w,10,0,61,10,0,47
kv4wd,10,16,60,10,13,87
ibtaz,10,21,0,10,18,34
x29av,11,0,2,2,0,93
j7f18,4,12,77,2,25,69
bcqcr,11,30,19,11,4,87
m4j23,2,1,93,10,17,94
uatj9,11,29,77,4,11,74
ezsxg,4,5,18,11,11,89
ms18f,10,17,61,2,18,15
d6k57,10,26,15,11,29,3
r29t1,10,7,47,10,19,45
m6hz0,2,17,38,10,23,72
irvxq,10,18,20,10,25,96
fvqqq,11,14,81,11,11,40
oqldt,11,24,5,11,26,93
rpbt4,10,29,11,2,27,30
yj6to,10,1,13,2,8,64
l5871,4,19,82,4,9,67
ew446,11,0,16,10,0,5
v3m83,11,0,46,2,0,4
q5fa9,2,0,35,10,0,16
swvzy,11,0,46,11,0,48
cbltb,2,0,57,11,16,26
i5fpf,4,0,54,10,0,3
tcp1k,11,0,1,11,0,86
vq7n4,10,0,28,10,0,1
l9tw4,10,0,37,4,0,24
uyv57,2,18,6,11,30,37
vk0j0,11,7,71,10,8,81
kdj22,2,4,97,11,24,69
xq1rc,2,25,29,4,13,68
h3c25,11,0,88,11,0,27
ga9wv,10,29,67,10,5,97
rlgap,4,16,9,11,9,89
q2ai3,2,12,86,4,15,54
dpd9m,10,22,1,10,20,11
vgudz,11,11,32,2,6,86
fx6kp,10,0,68,2,0,89
uygnd,11,0,37,11,0,82
azxde,10,24,14,10,3,53
uox2q,2,0,56,4,0,17
u2ovj,10,0,59,10,24,50
ux6kz,4,23,88,4,3,9
rqsup,10,7,89,11,12,76
mxmfo,11,19,19,2,3,23
sp4xp,4,19,45,11,19,92
h4ay7,2,20,30,4,12,42
uzvtf,10,24,59,11,7,18
ofe7n,2,15,25,11,7,37
l8w17,4,24,52,2,26,57
nsb3m,4,5,1,11,18,56
ofj9p,10,29,10,11,17,28
au2uf,2,0,76,4,27,70
dd7hj,10,16,90,2,3,81
gb1sx,11,26,79,4,23,82
cgtt4,4,1,80,10,1,94
lzvy2,10,2,85,2,17,62
riv7z,2,0,83,10,0,53
r4b4x,11,0,76,11,0,2
mg65x,10,0,35,2,0,77
w83p9,2,16,97,2,17,63
orfey,11,8,67,11,29,25
cf67b,2,8,69,10,21,90
tggzi,11,0,29,10,0,73
oy5x9,11,0,54,11,0,77
qr61r,10,0,80,2,0,94
oky1d,4,18,19,10,0,61
ol9e7,11,0,97,11,0,62
cevlf,2,21,21,11,12,93
oi8j6,11,21,68,4,15,1
uw9qs,10,16,55,10,4,25
hcmvn,4,26,68,11,16,2
pgr96,10,0,23,4,0,44
aneax,4,0,8,10,0,39
jy6uj,4,10,68,4,4,7
lask2,2,27,63,4,12,82
zxs0s,11,13,36,10,6,7
fx1cf,2,4,84,2,11,58
hrzp6,11,0,98,2,0,56
k9dxc,10,22,30,4,9,65
z2dd0,2,6,69,2,29,96
woopq,10,27,73,10,5,7
ay08s,10,4,9,10,16,89
g4vc4,2,30,68,10,2,28
vpq45,4,13,67,2,15,43
b9spo,4,0,80,11,0,47
wmjl0,11,20,74,2,4,49
hkwi3,2,26,51,10,6,34
xpt85,4,17,17,10,9,69
hlkt0,4,0,56,2,0,41
l8oue,10,14,1,4,1,9
r0txi,4,20,58,10,29,82
dpcmn,11,24,96,10,0,86
oq9w6,11,8,95,10,10,94
nh9vb,11,11,23,10,21,83
u5f2i,10,23,49,2,21,36
zy0e9,2,23,3,2,7,3
r5oiv,11,18,23,10,28,89
k2dfw,2,0,62,2,0,32
kk6tx,4,15,92,2,20,47
kmxjr,10,14,4,11,11,38
vaq1n,10,17,83,11,13,23
ic3kx,2,22,62,4,29,88
ezkks,2,0,17,2,0,30
iqecb,10,0,74,2,0,77
ale15,2,16,59,11,0,80
c2jm8,11,0,79,2,0,10
cempo,10,23,91,4,9,3
u739i,11,29,9,11,6,66
sc6ex,10,14,53,2,4,26
s6cw8,4,5,37,11,10,12
m8kji,10,4,13,2,11,82
sv66l,11,15,14,11,9,70
es0yb,11,0,51,10,0,63
x57wo,2,29,4,2,24,96
n2gh9,2,5,11,2,10,30
ym0o2,4,13,48,10,18,38
d2sny,2,3,81,11,21,75
mhkbs,2,13,95,10,15,61
sxn0p,2,25,85,10,12,81
mha43,4,2,34,11,30,45
lqhvr,10,16,64,10,7,88
emxib,2,20,48,10,25,24
jfm3j,11,29,41,4,24,57
g8e93,10,3,12,11,6,29
hctyq,4,1,74,11,1,9
r9ets,2,18,28,2,30,22
qvjre,10,29,35,2,26,11
pes0y,10,11,65,11,24,9
j8cpc,4,0,88,10,0,63
ym0vh,10,24,25,11,10,82
ccfp8,4,2,62,2,26,46
